position,time_to_complete
5rk1/1p3ppp/p1npr3/5p2/3P4/2P1PN2/PP1n1PPP/R4RK1 w - - 0 17,300.0
r4r2/p2n2kQ/2p1q3/1p2P1Pp/8/2PB4/1P4P1/2KR4 b - - 1 28,300.0
8/p4B2/1kp5/1p2R2p/5p1P/3K4/PP2pr2/8 b - - 1 52,300.0
rn3rk1/5pbp/2p3p1/pp2qp2/8/PBN2QPP/1PP2P2/1K1R3R b - - 0 16,300.0
3r2k1/pp1n1p1p/1qppr1p1/2P5/1P2PP2/2Q1R3/P2N2PP/4R1K1 b - - 0 21,300.0
4B3/5pbp/1p1N1kpn/3p4/3P3P/2P2P2/2r2P2/4R1K1 w - - 2 26,300.0
rnbq1rk1/ppp2pb1/3ppnpp/4P1N1/2BP4/2N5/PPP2PPP/R1BQ1RK1 b - - 0 8,300.0
r3k2r/pppnp1bp/2n1p1p1/8/5B2/5B2/PPP2PPP/R2N1RK1 b kq - 1 12,300.0
3r1rk1/3nRpbp/2q3p1/1p1R1p2/p7/P2Q1PPP/BPP5/1K6 b - - 0 23,300.0
2kr4/p1p3pp/1p1qp2r/1P1p4/P2Pp3/2P1P2P/4QPP1/R4RK1 w - - 0 20,300.0
rnbq1rk1/p3ppb1/2pp2pp/8/3NB3/4B3/P1P2PPP/1R1Q1RK1 b - - 1 14,300.0
r4r2/1b2ppkp/p2p1np1/1pqP4/1P3PP1/7P/P1PQ2B1/2KR2NR b - - 0 18,300.0
r2q2k1/ppp1n1pp/3bp1p1/3p4/3PP3/2P2NP1/PP1NQ1PP/5RK1 w - - 1 18,300.0
N7/P7/1pk5/8/7p/3KPp2/5P1p/8 w - - 0 55,300.0
r1bqr3/ppp2pk1/2n2np1/3p3p/6PP/1B1P1P2/PPPQN3/RN2K2R b KQ - 0 13,300.0
2r2r1k/2p2pb1/p3p1pp/2NnP3/pPnP4/5N1P/4RPP1/2R3K1 w - - 0 31,300.0
3q4/5pk1/1pQ1pNpp/pP2P3/2P3Pn/4P2P/5P2/6K1 w - - 1 34,300.0
r3r1k1/ppp2ppp/2n2q2/3pb3/8/2PQPN2/PP1N1PPP/R4RK1 w - - 0 14,300.0
5rk1/2q2p2/p1pp4/5Q2/Pr4PP/4P3/2P2P2/5RK1 b - - 0 26,300.0
r1b1kbnr/ppp2pp1/2n1pq1p/3p4/3P1B2/2P2N1P/PP2PPP1/RN1QKB1R w KQkq - 2 6,300.0
r3r1k1/pp3p1p/2p3p1/4N2n/3q4/P2B1Q1P/1P3PP1/R3R1K1 b - - 0 21,300.0
1k2rr2/pp3pp1/2pq3p/3p4/2nQPN2/2P5/PP4PP/R3R1K1 w - - 1 21,300.0
6k1/5p1p/6p1/p7/q6P/5QP1/5P1K/8 b - - 1 40,300.0
r3r3/pp2p2k/2p3p1/3p1p1p/7P/8/PPP1B1R1/1K3R2 b - - 1 30,300.0
2r1kb1r/pp2pppp/5q2/2pp4/3P2n1/2P1P1B1/PPQN1PPP/R3K2R w KQk - 3 13,300.0
r2qk2r/2pb2b1/ppn1p1np/4p1p1/P2P1p2/2PB1N1P/1PQN1PPB/R4RK1 w kq - 0 16,300.0
